FirstSurvey,Status,StatusOther,Field,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,FieldOther,NumWorkshops,TimeSinceWorkshop,WhichCarpentry,ContentCovered,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,ContentCoveredOther,Behaviors,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,BehaviorsOther,ProgrammingBefore,ProgrammingSince,ChangeInConfidence,HowToolsHelped,Column34,Column35,Column36,Column37,HowToolsHelpedOther,Writing,WritingResponse,OtherTopics,AdvanceCareer,MotivatedSeekKnowledge,AnalysesReproducible,ProfessionalRecognition,Column42,ImproveResearchProductivity,GainedConfidence,ImpactResponse,Country,Gender,Race,Column45,Column46,Column47,Column48,Column49,Column50,Involvement,Column51,Column52,Column53,Column54,Column55,Column56,Column57,InvolvementOther,ContinuousLearning,Column59,Column60,Column61,Column62,Column63,ContinousLearningOther,Recommended,LikelyToRecommend,OutcomesResponse,NotApplyingSkillsResponse,AdditionalCommentsResponse
,Faculty,,,,,,,Engineering,,,,,,,,1,More than 1 year ago,,,,,,,Python,,,,Unix Shell,,,,,,,,,,,,,Daily.,Daily.,I’m equally confident now.,,,,,,,Not sure.,,,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,"I was a confident programmer before attending, I mainly came along to get some exposure to Python. Hence, my answers don't show much ""improvement"". However, I found the course very well structured, my students adopted Python for data processing as a results, and I encouraged my post-docs to get involved as instructors.",,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,9,,,
,Graduate Student,,Agricultural or Environmental Sciences,,,,,,,,,,,,,1,6 months - 1 year ago,,,Git,,,,,R,,,Unix Shell,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,I had not been using tools like these.,Monthly.,I’m more confident now.,,They are improving my ability to analyze data.,,,,,No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Graduate Student,,,,,,,,,,Life Sciences,,,,,2,0-6 months ago,,,Git,,,,Python,R,,SQL,Unix Shell,,,Improving data management and project organization.,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,Using version control to manage code.,,,,I had not been using tools like these.,Monthly.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,,,,,No.,,,Agree,Agree,Neutral,Disagree,Agree,Neutral,Strongly agree,"I now know what tools are available, how to use them (basically), and how to seek out tutorials/more information on coding",,,,,,,,,,Subscribed to the newsletter.,,,,,Joined a mentoring group.,,,,Participated in an in-person short course.,,,,Used self-guided Carpentry lesson material.,,,Yes.,9,,,
,Postdoc,,,Biomedical/Health Sciences,,,,,,,Life Sciences,,,,Decision Neuroscience,2,More than 1 year ago,,,Git,MATLAB,,,Python,R,,,,,,Improving data management and project organization.,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,Using version control to collaborate online (in public or private repositories).,,,Monthly.,Monthly.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,,,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Learning about GitHub.,,,,,,,,,,,,Became a workshop helper.,,,,,,,Participated in an in-person short course.,Participated in an online short course.,,,,,,Yes.,9,,,
,Academic Research Staff,,,,,,,,,,Life Sciences,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,Improving data management and project organization.,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,,,,Daily.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,No.,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,Yes.,9,,,
,,Archivist,,,,,,,,Library Sciences,,,,,,1,0-6 months ago,,,Git,,,OpenRefine,,,Spreadsheets,SQL,Unix Shell,,,,,"Using databases, scripts and queries to manage large data sets.",Transforming step-by-step workflows into scripts or functions.,,,,,,,Daily.,Daily.,I’m more confident now.,They are improving my overall efficiency.,,They are improving my ability to manage data.,,,,No.,,I would take another one focused on shell only to review and expand my knowledge of the shell capabilities.,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,I was able to write simple instructions on using the shell to automate a couple manual steps in our workflow. This saves the project time.,,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,7,I can use open refine to fix messy data. I can quickly find and move several files at once in the command line.,,
,Industry,,,,,,,,,,,Mathematics or Statistics,,,,1,More than 1 year ago,,,,MATLAB,,,,,,,,,,,,,,,,,,,,Weekly.,Weekly.,I’m equally confident now.,,,,,,I didn't learn anything useful at the workshop,No.,,"I had a poor experience with the workshop I attended, I would be reluctant to attend another or recommend these to anyone.  They were a waste of my time.",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,,"I have undergone non Carpentry courses, personal study, group study with colleagues etc.",No.,0,,"I didn't learn anything at the course - I use books, colleagues and online resources to figure out how to do what I need to.",
,Graduate Student,,,Biomedical/Health Sciences,,,,Engineering,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,,,SQL,Unix Shell,,,Improving data management and project organization.,Developing a data management and analysis plan.,,,,Reusing code.,,,Sharing code or data publicly on places like GitHub or FigShare.,unit testing,Daily.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,,,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,No.,10,,,
,Undergraduate Student,,,,,,,Engineering,,,,,,,,1,More than 1 year ago,,,,,,,Python,,,,Unix Shell,I don't remember.,,,,,,,Reusing code.,,,,Teaching coding.,Less than once per year.,Less than once per year.,I’m equally confident now.,,,,,I am not using the tools I learned.,,No.,,Mobile Computing,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Complemented my ongoing efforts on programming and data management by getting to know more ways to achieve a goal.,,,,,,,,,,,,,,,,,,Checked periodical information.,,,,,,,,No.,10,Trained on shell and other coding languages and learned new ways to complete programming tasks.,Gone out of the programming field.,"It's good to know ther's people who support efforts towards better programming practices, other than a student's acquaintances."
,Graduate Student,,Agricultural or Environmental Sciences,,,,,,,,Life Sciences,,,,,1,0-6 months ago,,,Git,,,,,R,,SQL,Unix Shell,,,Improving data management and project organization.,Developing a data management and analysis plan.,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Weekly.,Weekly.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,No.,,,Agree,Strongly agree,Strongly agree,Disagree,Neutral,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,Participated in a Meetup.,Participated in a semester long course.,,,,Yes.,9,,,
,,Government Employee,,,,,,,,,,,Physical Sciences,,,1,More than 1 year ago,,,Git,,,,Python,,,SQL,,,,,,,,,,,,,,Weekly.,I have not been using tools like these.,I’m more confident now.,,,,,I am not using the tools I learned.,,No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Graduate Student,,,,,,,,,,Life Sciences,,,,,1,More than 1 year ago,,,,,,,,R,,,,,,,,,,,Reusing code.,Using version control to manage code.,,,,Less than once per year.,I have not been using tools like these.,I’m equally confident now.,,,They are improving my ability to manage data.,,,,No.,,,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,Participated in an in-person short course.,,,,,,,Yes.,7,,,
,Faculty,,,,,,Earth Sciences,,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,Improving data management and project organization.,,,,,,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Weekly.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,,,,,Yes.,,,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,7,,,
,Academic Research Staff,,,,,,,,,,Life Sciences,,,,,1,0-6 months ago,,,Git,,,,,R,,,,,,,,,,,,,Using version control to collaborate online (in public or private repositories).,,,Daily.,Daily.,I’m equally confident now.,,,,,,"I still need to catch up on git, but my team now uses it",No.,,Using machine learning in scientific data analysis,Neutral,Agree,Agree,Disagree,Neutral,Agree,Neutral,"I'm a boss, skilled in R; I attended with my team to see how to improve our work. Their adoption of git has helped us collaborate in a multiperson, multi-server project. ",,,,,,,,,,,,,,,,,,NA,,,Participated in a Meetup.,,,,,Yes.,6,1. Moved my team to version control/sharing via github,"I work flat out in R close to 100% of the time, have done for 11 years. When I'm less busy, I'll try to get myself into git but can't spare the time yet.",
,Industry,,,,,,,,,,,,,,education,2,More than 1 year ago,,,,,,,,R,Spreadsheets,SQL,,I don't remember.,,Improving data management and project organization.,Developing a data management and analysis plan.,"Using databases, scripts and queries to manage large data sets.",Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,,,Daily.,Daily.,I’m equally confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,No.,,,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Neutral,,,,,,,,,,,,,Became a workshop helper.,,,,,,,,,,,,,,Yes.,7,,,
,,Government Employee,,Biomedical/Health Sciences,,,,,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,R,,SQL,,I don't remember.,,,,,,,,,,,General awareness of code and shared approach to its development using github,I had not been using tools like these.,I have not been using tools like these.,I’m more confident now.,,,,,I am not using the tools I learned.,,No.,,,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,I took the course out of interest and was very impressed by the Teaching and organization ,,,,,,,,,,,,,,,,,,None beacause I went in a different career direction ,,,,,,,,No.,10,,Career change,
,Faculty,,,Biomedical/Health Sciences,,,,,,,Life Sciences,,,,,1,More than 1 year ago,,,,,,,Python,,,,Unix Shell,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,Several times per year.,Several times per year.,I’m more confident now.,,,,,I am not using the tools I learned.,,No.,,"Things target to biology research:  R, Matlab, more python since I'm a slow learner",Neutral,Strongly agree,Neutral,Disagree,Agree,Neutral,Strongly agree,Gained confidence using the command line.,,,,,,,,,,,,,,,,,,,,,,,,,,No.,5,"Gained confidence using the command line.  Translated lessons I learned to work in Matlab) still very much a beginner, though).",,
,Postdoc,,Agricultural or Environmental Sciences,,,,,,,,,,,,,1,More than 1 year ago,,,,,,,,R,,,,,,Improving data management and project organization.,Developing a data management and analysis plan.,"Using databases, scripts and queries to manage large data sets.",Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Weekly.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,The tools I learned have not helped me with my work.,,,Yes.,i now have completely reproducible workflow for manuscript writing with version control,R markdown,Strongly agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,Participated in an in-person short course.,,,,,,,Yes.,10,,,
,Graduate Student,,Agricultural or Environmental Sciences,,,Computer Science,,,,,,,,Social Sciences,,1,More than 1 year ago,,,Git,,,,Python,,,,,,,,,"Using databases, scripts and queries to manage large data sets.",Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,Several times per year.,Monthly.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,,The tools I learned have not helped me with my work.,,,No.,,,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Neutral,Strongly agree,"While I didn't retain everything I learned in the workshop, when it came time for me to need some of the skills/tools I learned, I remembered that they existed and was able to find references to refresh my memory. The workshop made me more bold to tackle coding tasks than before.",,,,,,,,,,,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,No.,8,I'm using Python to analyze data (which I had not done before the workshop); I know enough about version control to use it if/when I need it (which I didn't prior to the workshop).,,
,Graduate Student,,,,,,,,,,,,Physical Sciences,,,1,More than 1 year ago,,,,,,,Python,R,,,Unix Shell,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,Weekly.,Monthly.,I’m more confident now.,They are improving my overall efficiency.,,,,,,Not sure.,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,8,,,
,,Unemployed,Agricultural or Environmental Sciences,Biomedical/Health Sciences,,,,,,,,,,,,1,More than 1 year ago,,,Git,,,,,R,,,Unix Shell,,,,,,,,,,,,,Several times per year.,I have not been using tools like these.,I’m more confident now.,,,,,,,No.,,,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,"the shortcuts for shell, and realisisation of the use of various tools i had not used before",,,,,,,,,,,,,,,,,,,,,,,,,,No.,6,"i know what tools are available, and that they are within my ability to use",got no scince work...,"i was very pleased with it, even though it was two years ago. Harriet was very kind to explain to all."
,Postdoc,,Agricultural or Environmental Sciences,,,Computer Science,,,,,Life Sciences,,,,,1,6 months - 1 year ago,,,Git,,,,Python,,,SQL,,,,,,"Using databases, scripts and queries to manage large data sets.",,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,Daily.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,,,,,Yes.,,"Python, R, analysis of big datasets, statistics, pandas",Agree,Agree,Agree,Agree,Agree,Neutral,Agree,,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,Participated in an in-person short course.,,,,,,,Yes.,8,,,
,Graduate Student,,,,,,,,,,Life Sciences,,,,,1,More than 1 year ago,,,Git,,,,,,,,,,,,,,,,,Using version control to manage code.,,,,I had not been using tools like these.,Less than once per year.,I’m more confident now.,,,,,,I used Git regularly for a while but fell out of the habit,Yes.,organization and recovery of old code,,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,learning the utility of version control,,,,,,,,,,,,,,,,,,,,,,,,,,I don't remember.,7,,,
,Postdoc,,,,,,Earth Sciences,,,,,,Physical Sciences,,,1,More than 1 year ago,,,Git,,,,Python,,,,,,Red-Green-Refactor,,,,Transforming step-by-step workflows into scripts or functions.,,,,,Sharing code or data publicly on places like GitHub or FigShare.,,Daily.,Daily.,I’m equally confident now.,They are improving my overall efficiency.,,They are improving my ability to manage data.,,,,Yes.,"Enabled me to easily put code/data in an online repository, so that the paper could easily point to that resource.",,Strongly agree,Agree,Neutral,Agree,Strongly agree,Neutral,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,9,https://github.com/ecjoliver/marineHeatWaves  https://github.com/ecjoliver/eddyTracking,,
,Industry,,,Biomedical/Health Sciences,,,,,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,Improving data management and project organization.,,,,,,,,,,Daily.,Weekly.,I’m less confident now.,,,,The tools I learned have not helped me with my work.,,,No.,,A refresher in shell scripting. How to instill a culture of scripting and version control in a workplace where tech skills are undervalued.,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,I am aware of how inadequate my coding and version control is. I also no longer work in research and I now work in the public sector where Microsoft Office is king so implementing the things I learnt has been a challenge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Postdoc,,,,,,,,,,Life Sciences,,,,,1,More than 1 year ago,,,Git,,,,,R,,,,,,Improving data management and project organization.,Developing a data management and analysis plan.,"Using databases, scripts and queries to manage large data sets.",Transforming step-by-step workflows into scripts or functions.,,Reusing code.,,,,,Monthly.,Weekly.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,,,,,Yes.,It helped me immensely with writing my thesis and being confident about my results and able to regenerate figures with changes in raw data. ,next level - workflow tips and ideas. Reproducibility pipeline looking broader than R.  Ie. the reality that a lot of data entry happens in excel - how to work in this context and still do good reproducible science.  How to work well with collaborators who don't use R.  How to set up shiny apps to support automated analyses by collaborators to shield them from R/programming,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,Participated in an in-person short course.,,,,,,,Yes.,10,,,
,Industry,,,,,Computer Science,,,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Less than once per year.,Daily.,I’m more confident now.,They are improving my overall efficiency.,,,,,,No.,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,9,,,
,Academic Research Staff,,,Biomedical/Health Sciences,,,,,,,,Mathematics or Statistics,,,,1,6 months - 1 year ago,,,Git,,,,Python,R,,SQL,Unix Shell,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,,,Monthly.,Monthly.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,,machine learning techniques,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,,,,Yes.,10,,,
,Postdoc,,,Biomedical/Health Sciences,,,,,,,,,,,,1,6 months - 1 year ago,,,Git,,,,,R,,,Unix Shell,,,Improving data management and project organization.,,"Using databases, scripts and queries to manage large data sets.",Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,Weekly.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,No.,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,Participated in an in-person short course.,Participated in an online short course.,Participated in a Meetup.,,,,,I don't remember.,9,,,
,Graduate Student,,Agricultural or Environmental Sciences,,,,,,,,,,,,,1,0-6 months ago,,,,,,OpenRefine,,R,,SQL,,,excel,Improving data management and project organization.,Developing a data management and analysis plan.,"Using databases, scripts and queries to manage large data sets.",,,,,,,,Several times per year.,Weekly.,I’m more confident now.,,,They are improving my ability to manage data.,,,,Not sure.,,,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,data management,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,Used self-guided Carpentry lesson material.,,,Yes.,10,,,
,Graduate Student,,,,,,Earth Sciences,,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,Improving data management and project organization.,,"Using databases, scripts and queries to manage large data sets.",,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,,Sharing code or data publicly on places like GitHub or FigShare.,,Monthly.,Weekly.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,,,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,Used self-guided Carpentry lesson material.,Used non-Carpentry self-guided material.,,Yes.,8,,,
,Undergraduate Student,,,,,Computer Science,,,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,,,,,,,,,,,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Less than once per year.,Daily.,I’m more confident now.,,,,The tools I learned have not helped me with my work.,,,No.,,,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,No.,5,,,
,Academic Research Staff,,,,,,,,,,,,,,linguistic and computer science,1,6 months - 1 year ago,,,,,,,Python,,,,,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,Several times per year.,Monthly.,I’m equally confident now.,,They are improving my ability to analyze data.,,,,,Yes.,i do more analyses on data for my phd ,advanced python and mysql,Agree,Agree,Agree,Agree,Agree,Agree,Agree,the way you learn has encouraged me to work more on programming,,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,9,,,
,Industry,,Agricultural or Environmental Sciences,,,,,,,,,,,,,1,More than 1 year ago,,,,,,,,R,,,,I don't remember.,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,Several times per year.,Several times per year.,I’m more confident now.,,They are improving my ability to analyze data.,,,,,Not sure.,,,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,I don't remember.,5,,"I haven't used R regularly enough to maintain skills. I use R for statistics, but even though I've done several stats courses, I still don't feel confident. My current organisation also discourages researchers from doing our own stats. Instead we're meant to send everything to in-house statisticians.","I probably didn't have enough experience with R etc before attending a workshop and use R too intermittently to improve my skills. Attending the course may have helped me dabble in Python recently, by making code less intimidating."
,Postdoc,,,Biomedical/Health Sciences,,,,,,,,,,,,1,More than 1 year ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Faculty,,,,,,,,,,Life Sciences,,,,,1,More than 1 year ago,,,Git,,,,,,,,Unix Shell,,,Improving data management and project organization.,Developing a data management and analysis plan.,,,,Reusing code.,,,Sharing code or data publicly on places like GitHub or FigShare.,,Monthly.,Several times per year.,I’m equally confident now.,,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,10,,I moved from a postdoc/adjunct instructor position to a tenure-track faculty position and have not had as much time to use the information I learned ,
,Graduate Student,,,,,,,,,,Life Sciences,,,,,2,6 months - 1 year ago,,,Git,,,,Python,R,,,Unix Shell,,,Improving data management and project organization.,Developing a data management and analysis plan.,"Using databases, scripts and queries to manage large data sets.",,,Reusing code.,,Using version control to collaborate online (in public or private repositories).,,,Several times per year.,Monthly.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,Well my data organization is so much straightforward and logical from the beginning that it leads to my conclusions being better structured,I'd love a workshop on interpreting error messages-- it seems like the ability to interpret error messages has been the most important to me teaching myself,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Better data management practices and awareness of tools,,,,,,,,,,,,,,,,,,,,,,,Used self-guided Carpentry lesson material.,Used non-Carpentry self-guided material.,,Yes.,10,,,
,Academic Research Staff,,,,,,,,,,,Mathematics or Statistics,,,,1,6 months - 1 year ago,,,Git,,,,,,,,,,,Improving data management and project organization.,,,,,Reusing code.,Using version control to manage code.,,,,I had not been using tools like these.,Monthly.,I’m equally confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,,,Agree,Agree,Agree,Agree,,Strongly agree,Strongly agree,,,,,,,,,,,,,Became a workshop helper.,Became a Carpentry instructor.,,,,,,Participated in an in-person short course.,Participated in an online short course.,,,,,,Yes.,7,,,
,Graduate Student,,Agricultural or Environmental Sciences,,,,Earth Sciences,,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,,,,,,,,,,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Weekly.,Daily.,I’m more confident now.,,,,,,"Version control; my primary programming language is R, so the python workshop was useful but didn't have a noticeable affect. Just another way to do things, and be conversant in multiple languages",No.,,I can't think of a relevant topic I couldn't learn more efficiently on my own at this stage (by targeting the learning to what I would need),Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Neutral,"Version control, since this was new to me at the time and I primarily use a different programming language (R) than the course I took (python)",,,,,,,,,,,,,,,,,,"follow on twitter. I'd like to teach, but the time constraints of wanting to graduate are tough",,,,,,Used non-Carpentry self-guided material.,Led short courses for my lab group and conference student workshop,Yes.,10,,,"I also picked up some good tools for teaching similar material - the sticky note ""progress"" feedback, for example."
,Postdoc,,,,,,,,,Library Sciences,,,,,,2,0-6 months ago,,,Git,,,,Python,,,,,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,Several times per year.,Weekly.,I’m more confident now.,,They are improving my ability to analyze data.,,,,,No.,,"I would be interested in learning more about visualization software, such as Paraview.",Agree,Agree,Neutral,Strongly disagree,Agree,Neutral,Agree,"Became more comfortable working with Bash and Git, which has helped me with other programs.",,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,9,,,
,Faculty,,,,,,,,,,Life Sciences,,,,,2,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,Improving data management and project organization.,Developing a data management and analysis plan.,"Using databases, scripts and queries to manage large data sets.",,,,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Several times per year.,Weekly.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,,Carpentry workshops designed around specific types of data analysis tasks/fields (e.g. Genome Assembly),Agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Neutral,"I gained foundational knowledge of command line / scripting skills, and was able to ask the instructors a lot of questions in person (which helped me further develop and build upon my foundational skills after the workshop)",,,,,,,,,,Subscribed to the newsletter.,,,,,,Participated in a Twitter chat.,,,,,,,Used self-guided Carpentry lesson material.,,,Yes.,10,"1. Transferred all my code and routine data analysis pipelines to Github  2. Came up with a learning plan to further develop my skills in R and Python (buying books, going through other online Carpentry lessons, attending other workshops, etc.)",,
,Academic Research Staff,,,,,,Earth Sciences,,,,,,,,,2,More than 1 year ago,,,Git,,,,Python,,,,,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,Using version control to manage code.,,Sharing code or data publicly on places like GitHub or FigShare.,,Monthly.,Weekly.,I’m more confident now.,They are improving my overall efficiency.,,,,,,Not sure.,,,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,Yes.,8,,,
,Postdoc,,,,,,,,,,,,,Social Sciences,,1,More than 1 year ago,,,Git,,,,,R,,,,,,Improving data management and project organization.,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Postdoc,,,,,,,,,,Life Sciences,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,,,,,,,,,,,Daily.,Daily.,I’m more confident now.,They are improving my overall efficiency.,,,,,,No.,,,Neutral,Agree,Disagree,Neutral,Strongly agree,Strongly agree,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
