When-Taking-Survey,First-Time,Research,Status,Status-Other,Involvement,Practical-Knowledge,Organize-Data,Use-OpenRefine,Import-Python,Import-R,Visualizations-in-Python,Visualizations-in-R,Construct-SQL,Use-command-line,Skill-Level-Prior,Skill-Level-Following,Data-Organization,Using-Scripting-Language,Using-R-or-Python,Value-of-SQL-or-Python,Application,Worth-My-Time,Material,Recommend,Instructors-Clear-Answers,Instructors-Considerate,Instructors-Effective,Instructors-Enthusiastic,Workshop-in-US,Age,Gender,Gender-Other,Race-American-Indian,Race-Asian,Race-Black,Race-Hispanic,Race-Islander,Race-White,Race-Prefer-Not,Race-Other
"I have just completed the workshop, and am taking it at the event",yes,Genetics,Graduate student,,Very involved,Some practical knowledge,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,Very low,Somewhat higher,Strongly agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Always,Always,Always,Always,yes,,,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Applied Statistics,Graduate student,,Enthusiastically involved,Some practical knowledge,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,High,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes,,,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Genomics,Staff,,Very involved,Some practical knowledge,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neither high nor low,Somewhat higher,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Always,Always,Always,Always,yes,,,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Hematology,Faculty,,Enthusiastically involved,A great deal,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,Low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes,,,,,Asian/Pacific Islander,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Genetics,Staff,,Very involved,Some practical knowledge,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Low,Somewhat higher,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Most of the time,Most of the time,Most of the time,Always,yes,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hispanic or Latino,,,,
"I have just completed the workshop, and am taking it at the event",yes,Hematology,,,Very involved,Some practical knowledge,Disagree,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Very low,Somewhat higher,Strongly agree,Neutral,,Neutral,Neutral,Agree,Agree,Agree,Most of the time,Always,Most of the time,Always,yes,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Microbiology,Graduate student,,Very involved,A great deal,Strongly Agree,Neutral,Strongly disagree,Strongly Agree,Strongly disagree,Strongly Agree,Neutral,Strongly Agree,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Most of the time,Always,Most of the time,Always,no,,,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Plant Science,Faculty,,Very involved,A great deal,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,Disagree,Neutral,NA/Not covered at this workshop,Strongly Agree,Low,Higher,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Neutral,Strongly agree,Always,Always,Most of the time,Always,yes,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Biochemistry,Graduate student,,Enthusiastically involved,A great deal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Toxicology,Faculty,,Very involved,A great deal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian
"I have just completed the workshop, and am taking it at the event",yes,Microbiology,Undergraduate student,,Somewhat involved,A great deal,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Low,Somewhat higher,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Biochemistry,Graduate student,,Enthusiastically involved,A great deal,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Very low,Higher,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Most of the time,Most of the time,Most of the time,Most of the time,no,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,,Post-doc,,Enthusiastically involved,A great deal,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Low,Somewhat higher,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Always,Always,Always,Always,no,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Microbiology,Graduate student,,Enthusiastically involved,Some practical knowledge,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Low,Higher,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Always,Always,Always,Always,no,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Microbiology,Graduate student,,Enthusiastically involved,A great deal,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,,Agree,High,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Agree,,Agree,Agree,Agree,Always,Most of the time,Most of the time,Always,no,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Microbiology,Graduate student,,Enthusiastically involved,A great deal,Disagree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Neither high nor low,Somewhat higher,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Always,Always,Always,Always,no,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",no,Microbiology,Faculty,,Very involved,A great deal,Agree,Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Low,Higher,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Always,Always,Always,Always,no,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Biochemistry,Graduate student,,Enthusiastically involved,A great deal,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Always,Always,Always,Always,no,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Biochemistry,Faculty,,Enthusiastically involved,A great deal,Strongly Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Low,Higher,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,no,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Biochemistry,Graduate student,,Very involved,A great deal,Strongly Disagree,Strongly disagree,NA/Not covered at this workshop,Strongly Disagree,NA/Not covered at this workshop,Strongly disagree,NA/Not covered at this workshop,Strongly disagree,Very low,Much higher,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,no,,,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Fisheries,Faculty,,Enthusiastically involved,Some practical knowledge,Disagree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Neutral,Agree,Disagree,Very high,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Always,Always,Most of the time,Always,yes,,,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Fisheries,Staff,,Somewhat involved,Some practical knowledge,Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Agree,Agree,Low,About the same,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Usually,Always,Most of the time,Most of the time,yes,,,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Biology,Staff,,Very involved,Some practical knowledge,Neutral,Strongly Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Agree,Agree,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Always,Always,Most of the time,Always,yes,,,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Ecology,Graduate student,,Enthusiastically involved,A great deal,Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Strongly Agree,Neutral,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes,,,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Fisheries,Other (please specify),Government,Very involved,Some practical knowledge,Neutral,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,Strongly Agree,Strongly Agree,High,Somewhat higher,Strongly agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Agree,Always,Always,Most of the time,Always,yes,,,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Fisheries,,,Very involved,Some practical knowledge,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Very low,Somewhat higher,Strongly agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Most of the time,Always,Always,Always,yes,,,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Coastal Processes,Other (please specify),Graduate Student,Very involved,A great deal,Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Neither high nor low,Somewhat higher,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Always,Always,Always,Always,yes,,,,,,,,,,,multiracial
"I have just completed the workshop, and am taking it at the event",yes,Ecology,Faculty,,Very involved,A great deal,Agree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Always,Always,Always,Always,yes,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Ecology,Staff,,Very involved,A great deal,Agree,Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Agree,Agree,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Always,Always,Always,Always,yes,,,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Ecology,Faculty,,Very involved,Some practical knowledge,Agree,Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,High,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Usually,Always,Usually,Most of the time,yes,,,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Water ,Graduate student,,Enthusiastically involved,A great deal,Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,Agree,NA/Not covered at this workshop,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Most of the time,yes,,,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Biology,Faculty,,Very involved,Some practical knowledge,Neutral,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Agree,NA/Not covered at this workshop,High,About the same,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Always,Always,Most of the time,,yes,,,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Oceanography,Graduate student,,Enthusiastically involved,A great deal,Neutral,Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,Strongly Agree,Neutral,Neither high nor low,Higher,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Always,Always,Always,Always,yes,,,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Fisheries,Faculty,,Very involved,A great deal,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Strongly Agree,Strongly Agree,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Most of the time,Always,Always,Always,yes,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Astrophysics,Post-doc,,Very involved,A great deal,Neutral,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,High,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Most of the time,Always,Most of the time,Most of the time,no,,,,,,,Hispanic or Latino,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Ecology,Other (please specify),Researcher,Very involved,Some practical knowledge,Agree,Agree,Agree,Agree,NA/Not covered at this workshop,Agree,Agree,Agree,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Library Science,Faculty,,Somewhat involved,Some practical knowledge,Neutral,Agree,NA/Not covered at this workshop,Strongly Disagree,NA/Not covered at this workshop,Strongly disagree,Agree,NA/Not covered at this workshop,Neither high nor low,About the same,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,,Usually,Usually,Usually,Always,yes,,,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Education,Graduate student,,Very involved,A great deal,Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Agree,NA/Not covered at this workshop,Very low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,,Always,Always,Always,Always,yes,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Social Science,Faculty,,Very involved,Some practical knowledge,Strongly Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Neutral,Agree,NA/Not covered at this workshop,Low,Somewhat higher,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Disagree,,Usually,Always,Sometimes,Always,yes,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,,Graduate student,,Very involved,Some practical knowledge,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,High,About the same,Strongly agree,Neutral,Agree,Strongly disagree,,Agree,Disagree,,Always,Most of the time,Always,Always,yes,,,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Marine Biology,Undergraduate student,,Enthusiastically involved,A great deal,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,High,Much higher,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,,Always,Always,Always,Always,yes,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Biomedical ,Graduate student,,Very involved,A great deal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Statistics,Graduate student,,Very involved,Some practical knowledge,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Strongly Agree,Strongly Agree,Strongly Agree,High,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,,Always,Always,Always,Always,yes,,,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Wildlife ,Staff,,Very involved,Some practical knowledge,Agree,Strongly Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Agree,NA/Not covered at this workshop,Low,Higher,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,,Most of the time,Always,Most of the time,Always,yes,,,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Ecology,Graduate student,,Very involved,A great deal,Neutral,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Strongly Agree,Agree,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Most of the time,Always,Most of the time,Always,yes,,,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Geoscience,Graduate student,,Enthusiastically involved,Some practical knowledge,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Neutral,Disagree,Agree,Agree,,Always,Usually,Most of the time,Always,yes,,,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Public Policy ,Staff,,Enthusiastically involved,A great deal,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Strongly Agree,Strongly Agree,High,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Always,Always,Always,Always,yes,,,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Natural Science,Staff,,Very involved,A great deal,Neutral,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Strongly Agree,Agree,High,Somewhat higher,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,,Most of the time,Always,Most of the time,Always,yes,,,,,Asian/Pacific Islander,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Statistics,Graduate student,,Very involved,A great deal,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Strongly Agree,Strongly Agree,Low,Somewhat higher,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,,Always,Most of the time,Always,Always,yes,,,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Immunology,Post-doc,,Very involved,A great deal,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly Agree,Agree,Disagree,Neither high nor low,Somewhat higher,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,,Always,Always,Always,Always,yes,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Marine Biology,Graduate student,,Enthusiastically involved,Some practical knowledge,Neutral,Strongly Agree,NA/Not covered at this workshop,Neutral,NA/Not covered at this workshop,Agree,Strongly Agree,NA/Not covered at this workshop,High,Somewhat higher,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,,Always,Always,Always,Always,yes,,,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Immunology,Other (please specify),Graduate Student,Enthusiastically involved,A great deal,Agree,Strongly Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,Strongly Agree,Neither high nor low,Somewhat higher,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,,Most of the time,Always,Always,Always,yes,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Ecology,Graduate student,,Enthusiastically involved,A great deal,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Always,Always,Most of the time,Most of the time,no,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Genetics,Graduate student,,Enthusiastically involved,A great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Always,Always,Most of the time,Always,no,,,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,,Staff,,Enthusiastically involved,A great deal,Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Strongly Agree,Strongly Agree,High,Higher,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,,Always,Always,Always,Always,yes,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Social Science,Staff,,Very involved,Some practical knowledge,Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Agree,Agree,Low,Somewhat higher,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,,Most of the time,Always,Most of the time,Always,yes,,,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Biochemistry,Graduate student,,Very involved,A great deal,Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,Strongly Agree,Neutral,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,,Most of the time,Always,Most of the time,Always,yes,,,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Psychiatry,Staff,,Very involved,Some practical knowledge,Agree,Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,High,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,,Always,Always,Always,Always,yes,,,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Ecology,Graduate student,,Very involved,A great deal,Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Agree,Agree,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,,Most of the time,Always,Always,Always,yes,,,,,,Black or African American,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Microbiology,Graduate student,,Very involved,A great deal,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Low,Higher,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,,Always,Always,Always,Always,yes,,,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Social Science,Staff,,Somewhat involved,Some practical knowledge,Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Agree,Agree,Strongly disagree,Neither high nor low,Somewhat higher,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,,Most of the time,Always,Most of the time,Always,yes,,,,,,Black or African American,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Neuroscience,Graduate student,,Enthusiastically involved,Some practical knowledge,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Neither high nor low,Higher,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,,Always,Always,Always,Always,yes,,,,,Asian/Pacific Islander,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Biophysics,Graduate student,,Very involved,A great deal,Agree,Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Agree,Agree,Low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Always,Always,Always,Always,yes,,,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Ecology,Graduate student,,Enthusiastically involved,Some practical knowledge,Neutral,Agree,NA/Not covered at this workshop,Neutral,NA/Not covered at this workshop,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Most of the time,Always,Always,Always,yes,,,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Mathematics,Faculty,,Very involved,Some practical knowledge,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Agree,NA/Not covered at this workshop,Low,Somewhat higher,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,,Most of the time,Always,Usually,Usually,yes,,,,,,,Hispanic or Latino,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Healthcare,Graduate student,,Somewhat involved,None,Neutral,Agree,Strongly disagree,Strongly Agree,Strongly disagree,Agree,Agree,Strongly disagree,Neither high nor low,About the same,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,,Always,Always,Sometimes,Usually,yes,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",no,,Graduate student,,Somewhat involved,Some practical knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American,,,,,
